<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GBPUSD,60,20190402,150000,1.3060000,1.3060000,1.3012000,1.3015000,108342
GBPUSD,60,20190402,160000,1.3015000,1.3037000,1.3013000,1.3032000,118489
GBPUSD,60,20190402,170000,1.3032000,1.3053000,1.3026000,1.3050000,133217
GBPUSD,60,20190402,180000,1.3051000,1.3055000,1.3027000,1.3031000,145723
GBPUSD,60,20190402,190000,1.3031000,1.3041000,1.3023000,1.3033000,111239
GBPUSD,60,20190402,200000,1.3033000,1.3081000,1.3027000,1.3076000,93226
GBPUSD,60,20190402,210000,1.3076000,1.3131000,1.3068000,1.3109000,145709
GBPUSD,60,20190402,220000,1.3109000,1.3124000,1.3105000,1.3113000,68549
GBPUSD,60,20190402,230000,1.3114000,1.3131000,1.3109000,1.3129000,55235
GBPUSD,60,20190403,000000,1.3130000,1.3150000,1.3124000,1.3132000,43488
GBPUSD,60,20190403,010000,1.3132000,1.3138000,1.3124000,1.3128000,20943
GBPUSD,60,20190403,020000,1.3132000,1.3142000,1.3126000,1.3128000,23936
GBPUSD,60,20190403,030000,1.3128000,1.3135000,1.3123000,1.3126000,39964
GBPUSD,60,20190403,040000,1.3126000,1.3134000,1.3122000,1.3130000,53850
GBPUSD,60,20190403,050000,1.3130000,1.3138000,1.3120000,1.3136000,46430
GBPUSD,60,20190403,060000,1.3136000,1.3146000,1.3132000,1.3139000,37114
GBPUSD,60,20190403,070000,1.3141000,1.3141000,1.3135000,1.3137000,36604
GBPUSD,60,20190403,080000,1.3138000,1.3143000,1.3131000,1.3142000,38348
GBPUSD,60,20190403,090000,1.3142000,1.3143000,1.3132000,1.3141000,36537
GBPUSD,60,20190403,100000,1.3141000,1.3182000,1.3138000,1.3181000,104777
GBPUSD,60,20190403,110000,1.3181000,1.3193000,1.3171000,1.3187000,159824
GBPUSD,60,20190403,120000,1.3187000,1.3196000,1.3140000,1.3171000,146142
GBPUSD,60,20190403,130000,1.3172000,1.3184000,1.3165000,1.3182000,108145
GBPUSD,60,20190403,140000,1.3182000,1.3185000,1.3165000,1.3170000,108220
GBPUSD,60,20190403,150000,1.3171000,1.3174000,1.3152000,1.3166000,109149
GBPUSD,60,20190403,160000,1.3166000,1.3187000,1.3159000,1.3168000,114881
GBPUSD,60,20190403,170000,1.3168000,1.3169000,1.3120000,1.3130000,110770
GBPUSD,60,20190403,180000,1.3131000,1.3161000,1.3130000,1.3159000,62002
GBPUSD,60,20190403,190000,1.3158000,1.3185000,1.3141000,1.3182000,29519
GBPUSD,60,20190403,200000,1.3182000,1.3182000,1.3155000,1.3169000,55331
GBPUSD,60,20190403,210000,1.3169000,1.3180000,1.3150000,1.3155000,70630
GBPUSD,60,20190403,220000,1.3155000,1.3168000,1.3140000,1.3155000,69647
GBPUSD,60,20190403,230000,1.3155000,1.3166000,1.3151000,1.3165000,45057
GBPUSD,60,20190404,000000,1.3165000,1.3165000,1.3152000,1.3154000,27070
GBPUSD,60,20190404,010000,1.3154000,1.3169000,1.3150000,1.3155000,22084
GBPUSD,60,20190404,020000,1.3155000,1.3179000,1.3152000,1.3175000,29837
GBPUSD,60,20190404,030000,1.3175000,1.3180000,1.3169000,1.3175000,38285
